product_category_name,product_category_name_english
beleza_saude,health_beauty
informatica_acessorios,technology
automotivo,auto
cama_mesa_banho,furniture_decor
moveis_decoracao,furniture_decor
esporte_lazer,entertainment
perfumaria,health_beauty
utilidades_domesticas,furniture_decor
telefonia,technology
relogios_presentes,fashion
alimentos_bebidas,food_drink
bebes,baby
papelaria,other
tablets_impressao_imagem,technology
brinquedos,baby
telefonia_fixa,technology
ferramentas_jardim,tools
fashion_bolsas_e_acessorios,fashion
eletroportateis,appliances
consoles_games,entertainment
audio,entertainment
fashion_calcados,fashion
cool_stuff,other
malas_acessorios,furniture_decor
climatizacao,appliances
construcao_ferramentas_construcao,tools
moveis_cozinha_area_de_servico_jantar_e_jardim,furniture_decor
construcao_ferramentas_jardim,tools
fashion_roupa_masculina,fashion
pet_shop,pet
moveis_escritorio,furniture_decor
market_place,other
eletronicos,technology
eletrodomesticos,appliances
artigos_de_festas,other
casa_conforto,furniture_decor
construcao_ferramentas_ferramentas,tools
agro_industria_e_comercio,tools
moveis_colchao_e_estofado,furniture_decor
livros_tecnicos,entertainment
casa_construcao,tools
instrumentos_musicais,entertainment
moveis_sala,furniture_decor
construcao_ferramentas_iluminacao,tools
industria_comercio_e_negocios,tools
alimentos,food_drink
artes,entertainment
moveis_quarto,furniture_decor
livros_interesse_geral,entertainment
construcao_ferramentas_seguranca,tools
fashion_underwear_e_moda_praia,fashion
fashion_esporte,fashion
sinalizacao_e_seguranca,tools
pcs,technology
artigos_de_natal,other
fashion_roupa_feminina,fashion
eletrodomesticos_2,appliances
livros_importados,entertainment
bebidas,food_drink
cine_foto,technology
la_cuisine,food_drink
musica,entertainment
casa_conforto_2,furniture_decor
portateis_casa_forno_e_cafe,appliances
cds_dvds_musicais,entertainment
dvds_blu_ray,entertainment
flores,furniture_decor
artes_e_artesanato,entertainment
fraldas_higiene,baby
fashion_roupa_infanto_juvenil,fashion
seguros_e_servicos,technology