date,boleto,credit_card,debit_card,voucher
11/12/2017,3341.53,23100.58,162.38,120.59
11/13/2017,7122.43,22180.01,91.95,211.85
11/14/2017,8555.9,22908.12,114.41,434.17
11/15/2017,5302.69,21920.37,62.68,397.61
11/16/2017,9278.75,22802.16,118.62,863.74
11/17/2017,6886.58,27807.31,259.12,433.83
11/18/2017,3542.98,23523.54,365.86,536.19
11/19/2017,2873.76,19907.53,321.58,209.73
11/20/2017,9277.23,40925.86,102.23,315.92
11/21/2017,9444.81,30080.66,64.03,242.35
11/22/2017,6200.2,23914.17,416.34,190.91
11/23/2017,8259.79,43334.26,178.39,812.18
11/24/2017,32249.56,144576.02,759.26,1615.19
11/25/2017,8209.4,62565.41,46.31,1075.89
11/26/2017,6916.38,45375.15,508.45,1139.89
11/27/2017,9384.94,46449.55,379.52,752.27
11/28/2017,12172,43660.07,92.62,783.72
11/29/2017,10445.05,36450.61,94.25,1053.25
11/30/2017,6845.86,29152.45,328.4,700.02
12/1/2017,7320.93,38362.75,0,397.16
12/2/2017,6058.04,28882.49,385.91,582.07
12/3/2017,7273.73,26383.14,673.32,473
12/4/2017,13430.4,42107.49,85.14,602.38
12/5/2017,9463,29874.95,556.86,812.96
12/6/2017,8926.84,36397.82,347.77,477.2
12/7/2017,7270.95,25383.47,367.87,641.91
12/8/2017,7228.1,26757.16,716.24,459.32
12/9/2017,2056.41,20946.99,219.08,417.04
12/10/2017,6699.33,22137.09,207.15,740.69
12/11/2017,7060.38,31658.99,74.56,621.5
12/12/2017,5669.33,34082.25,0,618.81
12/13/2017,7605.05,25051.25,242.65,1486.13
12/14/2017,7041.32,23048.66,0,664.33
12/15/2017,4607.7,26005.67,256.62,581.64
12/16/2017,2662.02,18954.15,327.8,963.08
12/17/2017,1982.26,17239.57,282.18,2601.99
12/18/2017,7613.14,25496.68,38.38,749.93
12/19/2017,6583,16048.31,142.2,1720.77
12/20/2017,6869.84,24295.14,228.34,611.36
12/21/2017,5125.97,15835.2,296.87,288.4
12/22/2017,3730.39,13628.87,367.07,347.14
12/23/2017,2736.59,12306.95,0,1382.1
12/24/2017,959.15,5627,187.96,186.68
12/25/2017,1609.56,10678.19,105.8,268.68
12/26/2017,4838.75,17945.54,0,1013.17
12/27/2017,3399.01,16673.6,410.19,591.49
12/28/2017,1885.84,14717.66,313.79,876.56
12/29/2017,4449.74,15189.68,0,913.22
12/30/2017,1724.35,13096.67,291.59,300
12/31/2017,1702.93,8046.21,0,441.79
1/1/2018,1468.48,6592.66,253.05,172.1
1/2/2018,4389.01,23898.93,95.13,1111.67
1/3/2018,7161.05,28647.38,700.77,645.42
1/4/2018,10166.59,29332.61,76.95,1422
1/5/2018,5352.7,26087.38,274.41,627.46
1/6/2018,8390.77,23250.86,239.82,830.39
1/7/2018,3545.98,29610.5,339.44,497.56
1/8/2018,10763.1,33611.51,402.63,533.36
1/9/2018,6313.13,28451.85,196.55,478.47
1/10/2018,11733.37,31555.1,454.02,1082.44
1/11/2018,12789.02,32454.81,196.52,1306.03
1/12/2018,7276.75,28937.88,34.89,1020.71
1/13/2018,4564.91,25667.72,484.17,2505.58
1/14/2018,4382.75,30529.9,489.83,590.98
1/15/2018,9419.49,32317.28,1025.37,2446.15
1/16/2018,10332.52,39413.82,334.42,1258.62
1/17/2018,6618.1,33716.29,799.3,1018.23
1/18/2018,6134.69,25873.24,335.86,694.9
1/19/2018,6351.08,28013.38,355.04,930.13
1/20/2018,3425.31,22637.37,255.57,641.75
1/21/2018,4117.25,23278.14,414.02,638.01
1/22/2018,6292.47,35561.13,747.88,1266.41
1/23/2018,7260.64,31583.12,763.85,690.72
1/24/2018,6282.41,28656.24,97.86,1988.72
1/25/2018,6684.08,28093.81,0,558.09
1/26/2018,4917.38,33721.9,0,669.66
1/27/2018,4459.63,19653.73,56.17,937.24
1/28/2018,4757.9,22406.93,475.4,164.67
1/29/2018,6643.36,27623.66,823.95,965.55
1/30/2018,7777.98,26843.56,289.62,612.45
1/31/2018,5072.76,30857.69,531.06,1430.12
2/1/2018,5069.03,28921.8,602.97,1174.12
2/2/2018,6241.05,25219.53,284.09,787.78
2/3/2018,3410.37,23479.86,0,681.94
2/4/2018,3171.17,24786.64,0,304.1
2/5/2018,6399.07,35400.41,159.3,1238.19
2/6/2018,9698.5,29615.79,236.84,515.29
2/7/2018,7143.56,26624.08,261.61,2500.46
2/8/2018,4495.87,25956.42,969.96,488.76
2/9/2018,9049.36,25936.37,70.92,317.54
2/10/2018,2746.14,22085.5,328.05,105.63
2/11/2018,2897.52,22313.94,335.47,582.53
2/12/2018,2878.57,24178.31,35.69,897.98
2/13/2018,4084.57,24556.96,269.26,113.38
2/14/2018,9002.01,32574.8,566.81,1499.74
2/15/2018,8318.3,29328.72,263.61,1314.12
2/16/2018,4697.8,26737.57,77.57,354.53
2/17/2018,4816.85,24573.84,99.4,121.46
2/18/2018,2939.34,25033.85,123.47,975.27
2/19/2018,8294.17,24806.11,214.67,421.01
2/20/2018,9031.44,32275.31,584.93,815.01
2/21/2018,7450.98,28235.25,67.5,2263.53
2/22/2018,9793.67,27045.94,445.3,1499.32
2/23/2018,6349.43,25678.93,0,1044.6
2/24/2018,4592.12,23070.4,262.52,416.32
2/25/2018,6487.01,28036.25,0,407.62
2/26/2018,11282.17,37929.42,565.57,656.8
2/27/2018,10013.04,36225.1,465.26,373.59
2/28/2018,12759.61,38175.9,178.76,1207.47
3/1/2018,13476.73,31982.81,526.04,761.82
3/2/2018,6388.82,29847.9,544.58,769.01
3/3/2018,4279.81,27054.83,0,447.15
3/4/2018,4634.43,32056.71,189.11,599.55
3/5/2018,9517.65,35442.94,22.79,652.23
3/6/2018,8795.27,36147.31,186.8,841.86
3/7/2018,9560.21,32256.21,175.53,521.24
3/8/2018,7308.57,25988.17,86.86,458.52
3/9/2018,7489.58,25513.8,142.32,677.37
3/10/2018,2432.6,28050.51,126.34,495.55
3/11/2018,2698.89,33414.16,312.38,192.92
3/12/2018,6948.43,28575.66,42.78,364.02
3/13/2018,8296.09,32533.27,976.02,374.2
3/14/2018,4841.95,22964.14,58.03,553.13
3/15/2018,9070.59,41992.25,268.94,603.58
3/16/2018,8479.4,28533.61,0,1747.35
3/17/2018,1552.06,21872.33,161.76,414.06
3/18/2018,2528.82,32414.21,189.56,943.79
3/19/2018,8404.95,43390.73,129.94,781.69
3/20/2018,8435.53,31314.23,775.64,2362.53
3/21/2018,5943.9,38327.18,356.25,1854.76
3/22/2018,5528.85,29895,567.56,998.38
3/23/2018,3312.48,30337.93,333.48,833.83
3/24/2018,2117.89,25394.93,0,198.6
3/25/2018,4135.9,25625.9,20.06,410.94
3/26/2018,8704.49,31802.02,528.61,1710.11
3/27/2018,6992.25,30640.25,859.65,2141.43
3/28/2018,8492.17,25715.4,398.26,544.89
3/29/2018,3459.4,28624.91,395.82,1084.34
3/30/2018,4074.34,21525.45,0,679.96
3/31/2018,3635.97,24535.35,0,950.08
4/1/2018,4110.44,28850.81,436.45,791.3
4/2/2018,8305.98,38708.58,277.57,784.32
4/3/2018,10042.66,31492.38,213.67,438.61
4/4/2018,9375.68,33303.42,297.17,591.55
4/5/2018,6432.73,33986.2,240.58,1559.66
4/6/2018,8086.41,23370.87,45.22,782.86
4/7/2018,3779.6,24867.48,78.75,289.03
4/8/2018,3632.03,23432.85,240.68,578.05
4/9/2018,8207.77,46985.9,28.43,560.72
4/10/2018,6608.82,25068.99,103.5,753.97
4/11/2018,9410.01,36979.01,161.87,653.58
4/12/2018,7079.83,31506.74,563.55,795.26
4/13/2018,8150.19,26999.32,835.14,455.88
4/14/2018,3503.3,18709,0,185.57
4/15/2018,4165.57,31828.72,72.35,497.55
4/16/2018,7495.32,36972.72,547.9,2348.71
4/17/2018,7615.14,33842.11,453.56,903.44
4/18/2018,8282.4,37067.74,362.01,596.5
4/19/2018,9931.34,36895.26,2163.54,1336.39
4/20/2018,5845.01,25553.22,1095.96,347.45
4/21/2018,1230.62,20135.31,362.94,737.02
4/22/2018,2718.06,28499.75,37.75,736.23
4/23/2018,5606.36,36547.56,523.65,1685.72
4/24/2018,8936.36,40108.74,451.29,408.63
4/25/2018,5692.19,40962.74,306.8,394.76
4/26/2018,6905.41,28623.59,636.98,746.79
4/27/2018,5124.96,41227.5,21.04,390.8
4/28/2018,4818.6,21288.69,76.39,794.84
4/29/2018,3860.65,18768.15,0,432.15
4/30/2018,8593.65,31722.65,147.79,572.52
5/1/2018,7155.29,31756.33,96.26,266.38
5/2/2018,8180.69,35482.77,67.83,1177.34
5/3/2018,9192.4,39144.49,124.58,1757.38
5/4/2018,6626.84,38281.45,0,585.81
5/5/2018,4981.37,27065.94,169.1,424.26
5/6/2018,3510.57,29588.74,0,0
5/7/2018,11399.18,49818.21,720.68,630.18
5/8/2018,8265.04,45901.7,47.05,915.59
5/9/2018,9834.6,39516.88,468.75,1276.59
5/10/2018,9682.84,47715.61,37.04,1436.38
5/11/2018,6049.79,35887.78,72.26,1336.67
5/12/2018,3529.43,29186.78,160.74,2006.17
5/13/2018,6739.37,29376.01,87.32,117.37
5/14/2018,12697.95,48751.18,107.62,673.98
5/15/2018,8966.09,38881.36,228.36,1430.18
5/16/2018,9620.34,54533.15,152.41,436.16
5/17/2018,6917.66,28539.93,338.38,462.39
5/18/2018,5179.84,30847.5,0,402.43
5/19/2018,4468.31,23422.72,73.27,355.43
5/20/2018,2900.34,19827.11,237.94,120.73
5/21/2018,6259.01,23852.72,255.14,253.07
5/22/2018,11652.72,19561.74,47.43,808.77
5/23/2018,2973.1,16097.79,558.15,633.26
5/24/2018,3441.83,18354.49,129.06,353.32
5/25/2018,2369.82,15412.69,263.18,240.63
5/26/2018,1176.69,15451.83,0,285.57
5/27/2018,1169.06,13231.88,77.42,215.32
5/28/2018,6608.02,23270.01,0,426.92
5/29/2018,7272.97,20416.3,168.16,1583.9
5/30/2018,5120.8,16515.58,285.31,607.38
5/31/2018,1436.97,21865.68,4737.3,116.57
6/1/2018,6046.36,30147.92,903.58,186.19
6/2/2018,2994.5,25584.37,80.56,280.56
6/3/2018,3885.02,28429.99,284.94,424.49
6/4/2018,7534.27,25220.39,963.14,608.6
6/5/2018,5801.21,29716.08,770.54,183.39
6/6/2018,4341.49,27006.08,87.94,741.47
6/7/2018,4254.29,37177.3,205.71,1039.08
6/8/2018,6372.26,24432.36,596.82,395.76
6/9/2018,2225.36,28752.73,3022.29,33.4
6/10/2018,3280.35,25775.47,964.51,275.08
6/11/2018,6686.43,48444.58,1120.51,1094.04
6/12/2018,5813.19,38643.95,1727.19,578.1
6/13/2018,4691.56,35436.53,520.36,938.16
6/14/2018,3509.44,27257.51,1280.09,660.17
6/15/2018,4998.64,22315.67,3456.03,728.42
6/16/2018,3587.59,24506.52,729.57,176.4
6/17/2018,2900.38,17112.97,140.91,597.26
6/18/2018,8834.64,27785.63,585.15,3821.65
6/19/2018,7249.42,29367.71,2110.78,1285.69
6/20/2018,4860.02,22161.17,5639.67,1669.4
6/21/2018,8378.51,23683.02,553.39,687.07
6/22/2018,4680.96,21598.59,1719.55,754.05
6/23/2018,3033.35,16186.84,1251.98,708.94
6/24/2018,2138.14,25358.75,1714.18,287.5
6/25/2018,7785.26,33026.49,619.11,577.16
6/26/2018,7155.38,26933.84,1647.23,1937.22
6/27/2018,5254.96,25273.32,548.55,1844.07
6/28/2018,6826.79,29197.45,2180.8,568.7
6/29/2018,5233.73,19429.25,247.54,188.17
6/30/2018,2996.78,15546.08,0,78.85
7/1/2018,5224.23,23189.39,421.72,225.36
7/2/2018,6702.74,21284.14,868.31,567.24
7/3/2018,5102.45,23873.62,1857.88,620.65
7/4/2018,7019.36,32847.5,990.89,722.05
7/5/2018,7046.76,25810.36,658.45,433.93
7/6/2018,5991.7,14170.59,959.88,986.5
7/7/2018,1118.36,9933.61,186.93,38.34
7/8/2018,1792.89,14815.88,736.83,209.12
7/9/2018,3189.43,18548.41,876.67,507.66
7/10/2018,3447.37,17800.19,700.01,746.88
7/11/2018,4446.65,16351.5,965.78,384.71
7/12/2018,2415.6,23956.78,7511.77,1344.55
7/13/2018,5921.5,25773.23,524.31,416.2
7/14/2018,3924.08,21674.65,541.83,286.46
7/15/2018,11458.04,21318.68,1399.24,313.44
7/16/2018,11273.18,24744.69,1268.26,568.53
7/17/2018,4635.57,29142.64,1172.79,807.42
7/18/2018,8016.71,40903.52,1292.39,1179.81
7/19/2018,12365.4,30491.54,1456.44,597.87
7/20/2018,5742.52,30792.93,1053.65,541.91
7/21/2018,2874.75,21075.56,987.83,570.83
7/22/2018,3203.4,28526.22,1119.48,113.16
7/23/2018,8726.3,37378.13,1252.95,746.95
7/24/2018,7889.48,35900.79,2140.59,2223.17
7/25/2018,13885.9,31853.35,1375.72,802.74
7/26/2018,8746.7,30770.24,1073.92,1193.88
7/27/2018,5053.72,26252.82,1671.66,352.92
7/28/2018,4075.75,24607.68,1223.58,261.16
7/29/2018,5530.98,23930.98,6415.62,590.68
7/30/2018,9906.47,34299.85,1259.98,821.71
7/31/2018,11313.25,41655.02,900.82,783.01
8/1/2018,8858.87,36500.48,2252.06,1239.4
8/2/2018,5174.7,38205.74,1486.36,1065.9
8/3/2018,10502.99,36544.1,1147.44,1323.06
8/4/2018,5459.42,32220.85,2811.5,748.2
8/5/2018,6203.79,33561.69,1968.77,537.82
8/6/2018,10065.98,53533.63,846.18,1414.64
8/7/2018,10367.96,44179.39,2891.59,4618.83
8/8/2018,5693.09,42547.28,2904.6,318.79
8/9/2018,8063.34,32966.53,4657.85,1573.96
8/10/2018,6859.33,30489.27,1334.03,2007.63
8/11/2018,3278.21,26478.34,858.34,662.36
8/12/2018,2629.28,30750.41,2610.11,749.95
8/13/2018,6775.74,36332.53,2268,2787.49
8/14/2018,6512.09,41369.97,3060.69,631.92
8/15/2018,8026.47,42713.22,1209.64,1373.37
8/16/2018,7288.72,31947.15,1859.03,1486.18
8/17/2018,4904.54,28261.03,2753.22,4953.98
8/18/2018,2359.14,24530.79,1247.98,1557.16
8/19/2018,2517,26319.2,743.45,409.7
8/20/2018,5299.33,31870.13,2272.22,910.79
8/21/2018,4511.04,25144.79,1256.94,567.13
8/22/2018,4792.92,18816.4,620.07,172.45
8/23/2018,3369.7,15405.07,747.81,215.14
8/24/2018,1387.48,9237.42,261.7,564.16
8/25/2018,927.9,9468.44,1221.73,119.69
8/26/2018,449.31,8249.56,426.4,178.73
8/27/2018,1200,4583.65,268.73,177.57
8/28/2018,327.56,3720.42,14.89,1153.85
8/29/2018,0,1701.41,0,680.42
8/30/2018,0,0,0,705.04
8/31/2018,0,0,0,63.89
9/3/2018,0,0,0,458.64
9/6/2018,0,0,0,2443.2
9/10/2018,0,0,0,51.17
9/11/2018,0,0,0,258.67
9/12/2018,0,0,0,84.58
9/13/2018,0,0,0,414.04
9/17/2018,0,0,0,84.58
9/20/2018,0,0,0,191.46
9/25/2018,0,0,0,221.54
9/26/2018,0,0,0,94.63
9/29/2018,0,0,0,137.03
10/1/2018,0,0,0,80.38
10/3/2018,0,0,0,197.55
10/16/2018,0,0,0,222.03
10/17/2018,0,0,0,89.71
